unique_id,timestamp,y_pred,query,model_version,runtime
9e9c4ca9-14f8-485d-a3e0-2d3234fdb8f3,1600337015.63797,285290.02199999994,"[6348.070000000001, 6348.070000000001, 6348.070000000001, 6348.070000000001, 0.0, 10.444444444444445, 1339.0]",0.1,000:00:00
2dca549c-e2fa-4aa9-b22d-db743b59b9d2,1600337015.642238,163474.45200000002,"[10751.23, 10751.23, 10751.23, 10751.23, 0.0, 8.833333333333334, 1080.4444444444443]",0.1,000:00:00
bb56c70e-ad27-4461-8d31-5c2568488d93,1600337015.646194,179147.05399999997,"[10751.23, 10751.23, 10751.23, 10751.23, 0.0, 5.888888888888889, 720.2962962962963]",0.1,000:00:00
f56725d2-e057-4416-9a1f-6d281d024f90,1600337015.651175,179147.05399999997,"[12061.98, 12061.98, 12061.98, 12061.98, 0.0, 5.333333333333333, 630.0]",0.1,000:00:00
3ce9ab0c-498c-4afc-9607-deda3ba12669,1600337015.6558259,179147.05399999997,"[20242.410000000003, 20242.410000000003, 20242.410000000003, 20242.410000000003, 0.0, 5.466666666666667, 666.5111111111111]",0.1,000:00:00
27455810-dbd0-4f2c-a469-f662eb597c5d,1600337015.660269,168511.34,"[24478.23, 24478.23, 24478.23, 24478.23, 0.0, 5.648148148148148, 680.6296296296297]",0.1,000:00:00
6728cd12-c38b-4f8e-aed5-6c6f13409c59,1600337015.664305,163868.254,"[30521.88, 30521.88, 30521.88, 30521.88, 0.0, 5.761904761904762, 688.7777777777778]",0.1,000:00:00
7fbf9f7e-b8c4-4ae4-bc23-650d7fb94eec,1600337015.668242,163868.254,"[38279.87, 44627.94, 44627.94, 44627.94, 0.0, 6.194444444444445, 783.9722222222222]",0.1,000:00:00
32d6e656-94d4-49ae-8ad6-38c50f01654e,1600337015.67314,168511.34,"[26660.690000000002, 37411.92, 37411.92, 37411.92, 0.0, 6.234567901234568, 771.925925925926]",0.1,000:00:00
f4beecac-9b7e-4e26-8829-0237b1002915,1600337015.6774578,168511.34,"[26660.690000000006, 37411.92, 37411.92, 37411.92, 0.0, 5.611111111111111, 694.7333333333333]",0.1,000:00:00
f0550eb8-63c6-44aa-b303-a8e60ad96e30,1600337015.681623,168511.34,"[27493.45, 39555.43, 39555.43, 39555.43, 0.0, 5.4646464646464645, 653.4848484848485]",0.1,000:00:00
9b55bf9c-f730-48bf-947a-b7ec779bef46,1600337015.686343,179147.05399999997,"[21880.99, 42123.399999999994, 42123.399999999994, 42123.399999999994, 0.0, 5.5, 655.425925925926]",0.1,000:00:00
2cda51a6-76db-44c3-89b8-c969f68fc297,1600337015.691134,179147.05399999997,"[20617.370000000006, 45095.6, 45095.6, 45095.6, 0.0, 5.6068376068376065, 667.1623931623932]",0.1,000:00:00
9c5b949e-0f85-4bd0-8496-abfb5496df85,1600337015.696149,175975.651,"[22973.810000000005, 53495.69, 53495.69, 53495.69, 0.0, 5.7063492063492065, 699.563492063492]",0.1,000:00:00
695412f7-66a8-4022-b272-4b25c3e399b6,1600337015.701043,179147.05399999997,"[12594.680000000002, 50874.549999999996, 57222.62, 57222.62, 0.0, 6.044444444444444, 718.5555555555555]",0.1,000:00:00
1949ca2a-da37-4541-8791-09fcc782d396,1600337015.706678,179147.05399999997,"[21856.97, 48517.659999999996, 59268.890000000014, 59268.890000000014, 0.0, 6.076388888888889, 716.4027777777778]",0.1,000:00:00
9709dc32-4e24-484d-a84f-11876a9d1f24,1600337015.711872,179147.05399999997,"[21856.97, 48517.66, 59268.89000000001, 59268.89000000001, 0.0, 5.718954248366013, 674.2614379084968]",0.1,000:00:00
477297fa-47b2-4444-8ab9-8b6add1c7eaf,1600337015.716296,175975.651,"[23032.6, 50526.05, 62588.03, 62588.03, 0.0, 5.654320987654321, 667.3641975308642]",0.1,000:00:00
3dacad29-baa4-4bd5-b527-8886df5c078e,1600337015.721057,175975.651,"[23847.850000000002, 45728.840000000004, 65971.25, 65971.25, 0.0, 5.7368421052631575, 686.0701754385965]",0.1,000:00:00
14bbd4dc-eeb6-4ad5-8fa3-1b4bb84818c6,1600337015.7254379,175975.651,"[24683.710000000003, 45301.079999999994, 69779.31000000001, 69779.31000000001, 0.0, 5.822222222222222, 699.1666666666666]",0.1,000:00:00
a927553b-44cd-42fd-a76e-6113410b17b0,1600337015.729899,163868.254,"[34718.06, 57691.869999999995, 88213.75000000001, 88213.75000000001, 0.0, 6.084656084656085, 726.3915343915344]",0.1,000:00:00
34c47eb5-274b-47fd-892d-60cdc3d9daea,1600337015.735019,163868.254,"[36351.649999999994, 48946.33, 93574.26999999999, 93574.26999999999, 0.0, 6.262626262626263, 738.1666666666666]",0.1,000:00:00
5ef2fdfe-83bb-4a6f-9e00-367f3a9a5355,1600337015.7393742,163868.254,"[36816.63999999999, 58673.60999999999, 96085.53, 96085.53, 0.0, 6.251207729468599, 742.695652173913]",0.1,000:00:00
1ec82d1f-88b0-4ac7-b94c-48f65f2e89dd,1600337015.7438898,163868.254,"[36816.64000000001, 58673.61, 96085.53, 96085.53, 0.0, 5.9907407407407405, 711.75]",0.1,000:00:00
7cf44a97-1da5-4687-9a02-f54784311191,1600337015.74844,163868.254,"[36336.93, 59369.530000000006, 98924.96, 98924.96, 0.0, 5.924444444444444, 705.4933333333333]",0.1,000:00:00
30f45362-b965-49c0-b50a-04ecfcedacbe,1600337015.752657,163868.254,"[32953.71, 56801.560000000005, 98924.95999999999, 98924.95999999999, 0.0, 5.696581196581197, 678.3589743589744]",0.1,000:00:00
f412bf37-4441-4a1c-ad1f-377616fedc67,1600337015.756652,163868.254,"[44775.030000000006, 69458.73999999999, 114554.34000000001, 114554.34000000001, 0.0, 5.683127572016461, 688.3786008230453]",0.1,000:00:00
1f89b4f0-a69e-4c27-8086-11a42dd9d8a3,1600337015.760562,163868.254,"[32443.919999999995, 67161.98, 120657.67, 120657.67, 0.0, 5.940476190476191, 690.3531746031746]",0.1,000:00:00
154806a9-40d8-4a64-b43d-a537fdfc143c,1600337015.764374,163868.254,"[30411.26, 66762.91, 117637.45999999999, 123985.53, 0.0, 6.030651340996169, 705.5632183908046]",0.1,000:00:00
9a8b2853-0ee6-4df8-a81d-2fac658821a8,1600337015.769082,163868.254,"[38511.990000000005, 75328.63, 123846.28999999998, 134597.52, 0.0, 6.214814814814815, 717.162962962963]",0.1,000:00:00
fe5a9bc0-7940-44ac-8ba0-195c13121337,1600337015.7741199,163868.254,"[38511.990000000005, 75328.63, 123846.28999999998, 134597.52000000002, 0.0, 5.866666666666666, 672.5296296296297]",0.1,000:00:00
dff07360-70f9-4c64-b7f9-cc150913d84d,1600337015.7779698,163868.254,"[39361.01, 75697.94, 126223.99, 138285.96999999997, 0.0, 5.822222222222222, 672.7962962962963]",0.1,000:00:00
536a826e-ef0d-4541-a6ed-cac5b241298f,1600337015.781497,163868.254,"[43765.780000000006, 76719.49, 122448.33, 142690.74, 0.0, 6.1, 709.4666666666667]",0.1,000:00:00
2eb3da8b-b1be-4c4c-b0f7-01e67339a54e,1600337015.7854788,163868.254,"[31553.220000000005, 76328.25, 121629.32999999999, 146107.56, 0.0, 6.233333333333333, 728.0]",0.1,000:00:00
1bba5e01-63e8-4ab3-8f17-1c55b20fcda9,1600337015.789352,163868.254,"[35533.58, 67977.5, 125669.37000000001, 156191.25, 0.0, 6.2555555555555555, 738.9814814814815]",0.1,000:00:00
3ce6d94d-ea92-46ee-9d87-3fbfc1709768,1600337015.793189,163868.254,"[37711.96000000001, 68123.21999999999, 117069.54999999999, 161697.49, 0.0, 6.37037037037037, 751.2703703703704]",0.1,000:00:00
63b6626c-ff3f-4a84-be00-8a874f0f356a,1600337015.797499,296054.741,"[32614.480000000003, 71126.46999999999, 129800.07999999999, 167211.99999999997, 0.0, 6.474074074074074, 759.9111111111112]",0.1,000:00:00
c24f5c0c-4194-432d-926c-a97b30088200,1600337015.801404,296054.741,"[32614.480000000003, 71126.46999999999, 129800.07999999999, 167212.0, 0.0, 6.166666666666667, 711.5666666666667]",0.1,000:00:00
ea8fbbf7-50de-4a74-9d58-a939c4e002fb,1600337015.8052511,296054.741,"[34817.48000000001, 74178.48999999999, 133548.02000000002, 173103.45, 0.0, 6.237037037037037, 733.2666666666667]",0.1,000:00:00
5c4bf164-a528-42ec-88a9-2f520304df19,1600337015.8088698,313558.48999999993,"[35778.630000000005, 79544.40999999997, 136345.97, 178469.36999999997, 0.0, 6.592592592592593, 774.2925925925925]",0.1,000:00:00
7e36af14-134d-429f-85e7-7fd3baeddb6d,1600337015.812713,173592.643,"[41245.63, 72798.84999999999, 142257.59, 187353.19, 0.0, 6.7555555555555555, 818.1444444444444]",0.1,000:00:00
f5ebd628-3d87-4b38-a825-fb713a66d5d9,1600337015.816449,173592.643,"[35292.15, 70825.73, 137987.71, 191483.40000000002, 0.0, 6.896296296296296, 823.6518518518518]",0.1,000:00:00
ba67b131-ca77-41c6-bc62-6dc6389ae0ef,1600337015.82017,112398.82000000002,"[55142.229999999996, 92854.19000000002, 159617.10000000003, 216839.72, 0.0, 7.0851851851851855, 846.1555555555556]",0.1,000:00:00
6a931c7b-4dae-426d-8a8a-789afca951fe,1600337015.823483,112398.82000000002,"[56769.469999999994, 89383.95, 164712.58000000002, 223981.47, 0.0, 7.159259259259259, 845.2666666666667]",0.1,000:00:00
a53c615d-ded1-43cf-a21f-75038e5af107,1600337015.826831,112398.82000000002,"[56769.469999999994, 89383.95000000001, 164712.58000000002, 223981.47000000003, 0.0, 6.8, 812.4518518518519]",0.1,000:00:00
3162c52c-81b4-40b7-852b-0a6cde2fd086,1600337015.830666,316516.56,"[54537.54, 89355.02, 165052.96000000002, 227640.99000000002, 0.0, 6.685185185185185, 810.8629629629629]",0.1,000:00:00
1c117805-d808-482b-bba1-989e1e59d27d,1600337015.835037,112398.82000000002,"[58410.85, 94189.47999999998, 170908.97, 236880.22, 0.0, 7.044444444444444, 847.7185185185185]",0.1,000:00:00
58584b20-3255-44de-939e-4c68906902bf,1600337015.839257,112398.82000000002,"[56438.63, 97684.25999999998, 174012.51, 243791.82, 0.0, 7.17037037037037, 867.4481481481481]",0.1,000:00:00
